month,smb,hml,umd,rf,rm,rmrf
1986m10,-.00294197,.0314265,-.01713988,.0084017651,.0535864395,.04518467
1986m11,.01594992,.02662328,-.01435267,.0084858023,.0133888382,.00490304
1986m12,.00124297,.03217289,-.00938976,.008468994,.0281900252,.01972103
1987m1,.01103578,.0102801,.0249952,.0084017651,.0844793412,.07607758
1987m2,-.01350255,-.05271431,.00100289,.0081244924,.0914422628,.08331777
1987m3,.04471848,.04713652,.02928288,.0074526339,.0200993247,.01264669
1987m4,.00194858,.01573741,-.01325408,.0073434992,.026340949,.01899745
1987m5,.00535099,.00226091,.01443002,.0068147824,.0748702969,.06805551
1987m6,.06726263,.04726884,.0601596,.0070245572,.0535864395,.04656188
1987m7,.05192036,.01943515,.01512068,.0071588365,.0450868599,.03792802
1987m8,-.00475548,-.0001004,-.01235315,.0078724929,-.0437156763,-.05158817
1987m9,-.00095386,.00527216,.02582203,.0077969053,.0568576255,.04906072
1987m10,.02707259,.06790376,-.05910828,.0071084796,-.2634660818,-.27057456
1987m11,-.04728793,.02865203,-.01420271,.0068063922,-.0990450294,-.10585142
1987m12,-.00408953,.01311931,-.01963009,.0065966629,.0968034552,.09020679
1988m1,.01758005,-.00255016,-.00945506,.0065966629,.056012475,.04941581
1988m2,.00915923,.00477598,.00943325,.0070581252,-.0049875207,-.01204565
1988m3,.01975217,.0221653,.02825535,.0065043955,-.008860512,-.01536491
1988m4,-.0035372,.00846153,.00602774,.0063031151,.0386273658,.03232425
1988m5,.02318202,.00113282,.02891815,.0057749444,-.0014988756,-.00727382
1988m6,.0005721,-.00027757,-.02787061,.0072343756,.0463417147,.03910734
1988m7,.01696421,.01662885,.01869451,.0081749001,.0058168525,-.00235805
1988m8,-.00149763,.01505751,.01640154,.0090994842,-.0523783898,-.06147787
1988m9,-.0295048,.01266142,.0183409,.0090322132,.0423731602,.03334095
1988m10,.01622902,.02585981,-.00932939,.0091163029,.0240854809,.01496918
1988m11,.01058819,.03189718,.01536595,.0099239188,-.0295544658,-.03947838
1988m12,-.03919985,.00530531,-.00903727,.0098734237,-.0034938822,-.01336731
1989m1,-.03586315,-.00038012,-.03634154,.009721954,.1424784765,.13275652
1989m2,.03812945,-.01016452,.03686631,.0098734237,-.0081664717,-.0180399
1989m3,-.0172534,-.00811563,.01548823,.0097808565,.0358268533,.026046
1989m4,-.01955155,-.00522298,.01364342,.0096630555,.01643357,.00677051
1989m5,-.00681317,-.00617179,.02904731,.0104374273,.00451014,-.00592729
1989m6,-.02018927,.01268196,.00653507,.0106984907,.0133888382,.00269035
1989m7,-.02521153,.01690614,-.00161029,.0104121668,.0685472303,.05813506
1989m8,-.03200743,-.04804186,.00836855,.0104963715,.0325175069,.02202114
1989m9,.0202215,.01222037,-.00926832,.0105637401,-.0280005109,-.03856425
1989m10,-.03641578,-.01118978,.02057941,.0105637401,-.0723492808,-.08291302
1989m11,-.04955011,-.00866209,.03270241,.0105721616,.0573861836,.04681402
1989m12,-.02870649,.01990488,-.00864027,.0113303741,.0617303689,.05039999
1990m1,.0336541,.00179506,.00914165,.0113135197,-.027611634,-.03892515
1990m2,-.00711779,-.01423928,.02273678,.0112292469,-.0346842234,-.04591347
1990m3,-.02372201,-.01242726,.01796558,.0114146553,-.0024968775,-.01391153
1990m4,.0050701,.00562575,-.00496235,.0114399414,-.0603050697,-.07174501
1990m5,-.05498756,.00604843,-.0092795,.0113219475,.1108216852,.09949974
1990m6,.00832793,.00330608,.00998543,.0112123929,.0187740576,.00756166
1990m7,.00797521,.01865915,.0157256,.0112208199,-.0167579953,-.02797882
1990m8,-.04104752,.01940555,.01677939,.0111871125,-.0796488499,-.09083596
1990m9,-.01706117,-.00867449,.04667722,.0111534075,-.0801089114,-.09126232
1990m10,-.02296355,.02223839,.00818716,.0103279692,.0365521866,.02622422
1990m11,-.04090018,.02849347,.01671661,.0100080822,.044459993,.03445191
1990m12,-.00099751,-.01137735,.00054251,.0102774538,.0047110623,-.00556639
1991m1,-.05565114,-.0213856,.00255083,.0100922532,.0084353787,-.00165687
1991m2,.06102919,.01116258,-.05705906,.0095368553,.1143820103,.10484516
1991m3,.05411022,-.02524772,-.02137707,.0091583498,.0418521067,.03269376
1991m4,-.00366284,-.00974852,.02202922,.0088640549,.0118698951,.00300584
1991m5,-.0224678,-.02727421,.02877308,.0085446321,.003305451,-.00523918
1991m6,-.00893065,-.02894964,.01730068,.0084942059,-.029748537,-.03824274
1991m7,-.05790897,-.00501762,.03824371,.008317735,.0685472303,.0602295
1991m8,.02215365,-.01118182,-.00863796,.0080236852,.0304545333,.02243085
1991m9,.04753415,.00807135,.02594946,.0077465171,.0018016209,-.0059449
1991m10,.00656917,-.04396871,.0542651,.0079648858,-.0176425154,-.0256074
1991m11,.02316778,-.04739225,.02798034,.0080320856,-.0522836213,-.06031571
1991m12,-.06471811,-.04190544,.05543213,.0081160919,.0203033646,.01218727
1992m1,.00661615,-.01831463,.00795457,.007880892,.0380043773,.03012349
1992m2,.0083622,-.00397539,.02795829,.0077717109,.0056157091,-.002156
1992m3,-.00298375,-.01684558,.01539587,.0081328937,-.0432374136,-.05137031
1992m4,.00575956,.06054516,-.04811912,.007830499,.0989992616,.09116876
1992m5,.0310631,.00196429,.00284077,.0075365914,.0265462374,.01900965
1992m6,-.00168413,-.00284432,.06010189,.0075617805,-.0688175045,-.07637929
1992m7,-.04966549,-.03890508,.01416594,.0076793357,-.056350051,-.06402939
1992m8,-.02114876,.00070999,.04013642,.0077381191,-.0361311109,-.04386923
1992m9,-.02577949,-.01635135,-.00111596,.0066134393,.103955896,.09734246
1992m10,-.02228486,.02348207,-.02440713,.005464878,.0459232625,.04045838
1992m11,-.00363909,.00831012,.0012533,.0052302973,.0487510721,.04352077
1992m12,.05564347,.02382261,-.02665691,.0051297792,.0424774045,.03734763
1993m1,.07582233,.03351435,.01913337,.004953897,.0040080109,-.00094589
1993m2,-.00210049,.04399987,-.00135622,.0044013243,.0271623489,.02276102
1993m3,.00912344,.03689435,.01739428,.0043845841,.0117687124,.00738413
1993m4,.04094795,.02839651,-.02868115,.0043845841,-.010346107,-.01473069
1993m5,.01320446,.02255357,.01404272,.004267413,.013794275,.00952686
1993m6,.00549481,.02429882,.02762835,.0042255693,.0238806846,.01965512
1993m7,-.01800358,.02938565,.03632358,.0041502552,.0147071009,.01055685
1993m8,.00729538,.00524798,-.00841679,.0041502552,.0642815817,.06013133
1993m9,.00906497,.02730333,.03213967,.0042255693,-.0168563163,-.02108189
1993m10,-.02161962,.00189375,.01088865,.0040833142,.0421647068,.03808139
1993m11,-.02485367,-.00268092,.00980567,.0040414781,-.0026963583,-.00673784
1993m12,-.00927055,.00852468,.0371867,.0039912774,.0838288458,.07983757
1994m1,.07117563,.02337985,.0128355,.0039578117,.0407066995,.03674889
1994m2,.03975554,.0050953,-.00963431,.0038490555,-.0380569226,-.04190598
1994m3,-.0099109,-.00321718,.00132143,.0040163773,-.0620887937,-.06610517
1994m4,-.00135491,-.00025825,.00641827,.0039494452,.0152145814,.01126514
1994m5,.01697913,.0069232,-.00458674,.0039159809,-.0482948416,-.05221082
1994m6,-.03717936,-.00002088,-.01064058,.0040080107,-.0207810352,-.02478905
1994m7,-.0249652,.01337195,.02158143,.0045519956,.0600329576,.05548096
1994m8,-.03394966,-.0042752,-.00296414,.004359475,.055801294,.05144182
1994m9,.02222644,.00413577,.01032637,.0044515455,-.0667666479,-.07121819
1994m10,-.02919201,.00316705,.01496992,.0044180644,.0192835711,.01486551
1994m11,-.00479859,-.00904072,.00372301,.0046440837,-.0027960836,-.00744017
1994m12,-.01392646,.00024204,.01292204,.0048031651,-.00039992,-.00520309
1995m1,.00389849,.00187439,.00442016,.004953897,-.0255674727,-.03052137
1995m2,-.01221765,-.00918287,-.00346479,.0050125207,.0073267101,.00231419
1995m3,-.01289417,-.00712468,-.01724358,.004953897,.0432073949,.0382535
1995m4,.0006452,-.00133797,.01859704,.0053559586,.0292187296,.02386277
1995m5,.00888123,.0064833,.00699426,.0049287733,.0381081809,.03317941
1995m6,-.01481267,-.02865422,.03939537,.0053559586,-.0020977965,-.00745376
1995m7,.00186282,.00768363,.00011815,.0053392031,.0512710972,.04593189
1995m8,.01004396,-.03373687,.01950799,.0053140702,.0139970538,.00868298
1995m9,.01187556,-.0339203,.03046996,.0052889372,.0133888382,.0080999
1995m10,-.00391412,-.04525714,.05245412,.0052889372,.0026033829,-.00268555
1995m11,-.01633488,.00335497,.02161857,.005163284,.0340674446,.02890416
1995m12,-.00960516,.01076056,-.00145716,.0050376465,.0129835644,.00794592
